horizonte_meses,observaciones,beta,t_stat_hac,p_valor_hac,r2_pct,acierto_direccion_pct,sharpe_estrategia,senal
6,228,64.36487995630429,3.1216467176049383,0.001798426100525963,8.767176778306652,63.1578947368421,0.5011351895385286,mom12_global_freight
12,222,97.56375450811257,2.783384486373126,0.005379501447129703,10.873073475896,65.76576576576578,0.48664821379686046,mom12_global_freight
18,216,119.03889275024538,2.4704083393463376,0.013495890031435882,12.509663524381388,63.888888888888886,0.3664298560096598,mom12_global_freight
24,210,118.88561192512947,1.9038716071145003,0.0569269077319172,10.427613920229884,67.14285714285714,0.30449956974250275,mom12_global_freight
6,204,0.5894750825427315,0.7128524842850122,0.47593704441530627,0.8914896964246188,48.529411764705884,-0.0009685251181200051,z_global_china_import_prices
12,199,0.7342924606508895,0.5442860345939654,0.5862446556052927,0.6410301778735472,50.753768844221106,0.10895390599944979,z_global_china_import_prices
18,193,-0.30480544258286174,-0.19328027444765905,0.8467394737632736,0.07507888822977371,50.259067357512954,0.07714083827884433,z_global_china_import_prices
24,187,-1.2400853994544334,-0.6058874708852318,0.5445894798602503,1.053878127079244,40.106951871657756,0.01872176809352602,z_global_china_import_prices
6,227,100.71897896092752,1.6934028257427949,0.09037881739102756,4.919599051735313,55.06607929515418,0.15212830303474006,mom12_global_china_import_prices
12,222,96.67835089079409,1.2453128498848307,0.21301677406831576,2.299747300178623,56.30630630630631,0.10865462013491872,mom12_global_china_import_prices
18,216,-2.401102449138218,-0.029673097494131256,0.9763277675605694,0.0010692427291236761,50.92592592592593,-0.0001230131419958981,mom12_global_china_import_prices
24,210,-90.34457805814463,-0.8620474255666263,0.3886614206418082,1.256071680363291,47.61904761904761,-0.09999010720122145,mom12_global_china_import_prices
6,163,-1.3677938864967154,-1.0658390416437087,0.28649640887398475,2.4506486234704083,42.944785276073624,-0.29432881656076476,z_global_china_industry
12,163,-0.9618634876968574,-0.4882619915778754,0.6253642798117371,0.5736512747888445,40.49079754601227,-0.3331633627417024,z_global_china_industry
18,163,-0.2593132743271915,-0.10213450843204407,0.9186499104568375,0.027857818880705487,38.036809815950924,-0.2865913161692742,z_global_china_industry
24,163,-0.49434765717981594,-0.19501394779800135,0.8453820284898134,0.08075184035784,37.423312883435585,-0.3093245430809553,z_global_china_industry
6,186,-0.13289795981816768,-0.43326927467854737,0.6648191569059394,0.3298209124269147,42.473118279569896,-0.2521073078621215,mom12_global_china_industry
12,186,0.29354193618537194,0.669915008223035,0.5029119718047801,0.9205854925648516,42.473118279569896,-0.09335807881078269,mom12_global_china_industry
18,186,0.6620268120833273,1.3598375431333867,0.17388133898092206,3.434312034529463,46.236559139784944,-0.04096376477857027,mom12_global_china_industry
24,186,0.5791310568873267,1.2514586634819203,0.210767185903453,2.080388581502479,47.31182795698925,-0.034592712158397106,mom12_global_china_industry
6,183,0.9854753393165937,1.0606439914418937,0.2888517223297016,1.8486668676401696,54.09836065573771,0.18978029605275,z_global_china_leading
12,183,2.5369534933187587,1.6408216432381457,0.10083444415528843,6.1462372215013605,59.01639344262295,0.19046101835151727,z_global_china_leading
18,183,4.036106889209064,1.7409253694510993,0.08169666112138126,10.570057056745796,59.56284153005464,0.1985945401956885,z_global_china_leading
24,183,4.706350699603039,1.6570026658599244,0.09751893612123481,11.44134799333758,61.74863387978142,0.2085024110421433,z_global_china_leading
6,206,0.17216305243610638,0.591816134424075,0.5539737178134397,0.36266310444424965,40.29126213592233,-0.17631642270445247,mom12_global_china_leading
12,206,0.6268822564691352,1.2701084732169645,0.2040459938183088,2.6782540370832275,50.48543689320388,0.026501957164237505,mom12_global_china_leading
